Technology,Region,Aeo_case,Aeo_year,Data_type,Size,Year,Unit,Value
FCV,South Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,562
FFV,South Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,46710
HEV,South Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,105429
ICEV-D,South Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,1612
ICEV-G,South Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,1538784
PHEV20,South Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,5982
PHEV40,South Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,23478
BEV100,United States,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,14507
BEV300,United States,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,180835
CNG,United States,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,5974
FCV,United States,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,2740
